2023-08-17	15:24:52	11e70af6-5109-4820-aa34-37f197eac196	Error:Not allowed by CORS	GET	/	https://www.google.com
com
2023-08-18	15:38:10	7a9dfb42-cff3-4fa4-888d-c91a961bcaa6	TypeError:duplicateUser?._id.toSting is not a function	PATCH	/users	undefined
2023-08-18	15:42:08	90603e27-a44f-4e9e-b860-2d68bfcd857a	TypeError:duplicateUser?._id.toSting is not a function	PATCH	/users	undefined
2023-08-18	15:42:52	502988cb-c7d5-4e28-8af5-80bb0be4e9a1	TypeError:duplicateUser?._id.toSting is not a function	PATCH	/users	undefined
2023-08-18	15:47:49	4a98e826-2583-488a-9d75-f02ea099c07f	TypeError:duplicateUser?._id.toSting is not a function	PATCH	/users	undefined
2023-08-18	15:48:48	edb439da-f511-4789-aa51-4a51e5c1cc63	TypeError:duplicateUser?._id.toSting is not a function	PATCH	/users	undefined
2023-08-18	15:51:07	824539a4-3588-4fe0-9f9e-3788d51e7a35	TypeError:duplicateUser?._id.toSting is not a function	PATCH	/users	undefined
2023-08-18	15:52:17	dcb72307-1d8b-4b48-b4c2-a2d95410b12c	TypeError:duplicateUser?._id.toSting is not a function	PATCH	/users	undefined
2023-08-18	15:52:40	ab3431d1-ddb3-43b4-991f-86133ab697ef	TypeError:duplicateUser?.id.toSting is not a function	PATCH	/users	undefined
2023-08-18	15:53:13	f19afad0-25d1-4499-a751-c28ee45fee43	TypeError:duplicateUser.id.toSting is not a function	PATCH	/users	undefined
2023-08-18	16:10:13	094585df-fa36-4e27-a38d-6f77cf88f831	TypeError:Assignment to constant variable.	PATCH	/users	undefined
2023-08-18	16:11:47	78734993-1b93-4e34-abdb-cdb67377dcf1	ReferenceError:duplicateUser_id is not defined	PATCH	/users	undefined
2023-08-18	16:55:54	0a629a6c-d497-4464-8c74-3b3192b3fc18	ReferenceError:reply is not defined	GET	/users/64df7cf27044255aee63dfbb	undefined
2023-08-18	17:50:48	051da355-df71-4c71-8b9c-bea8323dfa18	Error:Cannot set headers after they are sent to the client	POST	/notes	undefined
2023-08-18	18:21:49	50a8aa0f-b315-475e-8296-5b0d1e5b7c72	ReferenceError:Cannot access 'notes' before initialization	POST	/notes	undefined
2023-08-18	18:22:34	2d3cbdee-3716-47e3-8616-e05ae84f757d	ReferenceError:notes is not defined	POST	/notes	undefined
2023-08-18	22:19:23	10906816-5fb9-4db6-9fe6-34af0a32d365	MongoServerError:E11000 duplicate key error collection: test.notes index: code_1 dup key: { code: null }	POST	/notes	undefined
2023-08-18	22:23:19	c2e37d38-22e0-4fb4-b156-313167e87b87	MongoServerError:E11000 duplicate key error collection: test.notes index: code_1 dup key: { code: null }	POST	/notes	undefined
2023-08-18	22:38:09	c9bd99f7-1e2d-4a1b-8903-200ad9c377b1	MongoServerError:E11000 duplicate key error collection: test.notes index: ticket_1 dup key: { ticket: null }	POST	/notes	undefined
2023-08-19	00:57:42	d4df136d-6bcf-4443-a99b-0635e2febdb8	ValidationError:note validation failed: user: Cast to ObjectId failed for value "brice" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
2023-08-19	00:59:56	f020a715-42f6-41e9-94ee-08b23e5af0d9	MongoServerError:E11000 duplicate key error collection: test.notes index: ticket_1 dup key: { ticket: null }	POST	/notes	undefined
2023-08-19	01:09:56	aff1ffd2-55a5-4e97-ab14-f4e0c1169005	SyntaxError:Unexpected string in JSON at position 38	GET	/notes	undefined
2023-08-19	01:27:39	44abd7f9-2f78-4835-b443-07a558d906eb	TypeError:Cannot read properties of undefined (reading 'length')	DELETE	/notes	undefined
2023-08-19	01:28:48	64eb47e9-d1db-4d76-958c-34cbb6c76e1b	TypeError:Assignment to constant variable.	DELETE	/notes	undefined
2023-08-19	01:33:57	7857c238-00d0-401e-86d4-ca029d9186e8	ReferenceError:deletedUser is not defined	DELETE	/notes	undefined
2023-08-19	17:39:52	cc6cd012-d0d7-4750-82f5-9a0c5fd0c100	Error:Not allowed by CORS	GET	/users	http://localhost:5173
2023-08-19	17:42:30	c5b9416f-5bd9-446e-b0d1-e16f2a88a21a	Error:Not allowed by CORS	GET	/users	http://localhost:5173
2023-08-20	15:03:05	cb588be1-18c9-4a55-b3c7-7854662cf2fd	TypeError:roles is not iterable	PATCH	/users	undefined
2023-08-20	15:07:06	6cfa9822-f092-4d40-9d01-6ccb3e65dc11	TypeError:Cannot read properties of null (reading 'id')	PATCH	/users	undefined
2023-08-20	15:08:18	351b0e32-09b8-4f8a-9492-947d97cf2b94	TypeError:Cannot read properties of null (reading 'id')	PATCH	/users	undefined
2023-08-20	15:09:09	4df3a320-93ec-4117-9ed0-1d12d6533890	TypeError:Cannot read properties of null (reading '_id')	PATCH	/users	undefined
2023-08-20	17:53:17	bb755648-2b82-4e0a-81e0-18f7767d4c1b	Error:Not allowed by CORS	GET	/socketcluster/	chrome-extension://lmhkpmbekcpmknklioeibfkpmmfibljd
2023-08-20	17:53:37	80f5ae72-5ac7-4b51-9977-3439db5bd380	Error:Not allowed by CORS	GET	/socketcluster/	chrome-extension://lmhkpmbekcpmknklioeibfkpmmfibljd
2023-08-20	17:54:04	1fa15426-fc7b-4793-a390-f96e1ae0e4c6	Error:Not allowed by CORS	GET	/socketcluster/	chrome-extension://lmhkpmbekcpmknklioeibfkpmmfibljd
2023-08-20	17:54:27	a87736dc-2cfa-4ea2-a755-f7580b452ea3	Error:Not allowed by CORS	GET	/socketcluster/	chrome-extension://lmhkpmbekcpmknklioeibfkpmmfibljd
2023-08-20	21:27:33	00d9c912-1684-4a17-b73b-ed7664fbaa10	MongoServerSelectionError:getaddrinfo EAI_AGAIN ac-rmqmpwj-shard-00-01.gjarrkx.mongodb.net	GET	/notes	http://localhost:5173
2023-08-20	21:27:33	6a464425-ec70-4b31-864c-5797e07616da	MongoServerSelectionError:getaddrinfo EAI_AGAIN ac-rmqmpwj-shard-00-01.gjarrkx.mongodb.net	GET	/users	http://localhost:5173
2023-08-20	23:46:34	868f0833-a5d9-4171-ba06-f041df98f141	Error:Not allowed by CORS	GET	/socketcluster/	chrome-extension://lmhkpmbekcpmknklioeibfkpmmfibljd
2023-08-20	23:46:45	4f28b7e4-63d4-4892-a36f-cd8e08a6da5c	Error:Not allowed by CORS	GET	/socketcluster/	chrome-extension://lmhkpmbekcpmknklioeibfkpmmfibljd
2023-08-20	23:47:14	a9179e85-1c4f-47f6-8e48-5f915a3737d8	Error:Not allowed by CORS	GET	/socketcluster/	chrome-extension://lmhkpmbekcpmknklioeibfkpmmfibljd
